****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Cross-validation will be performed.  Folds=5.
Random seed: 43
Point estimation method: Block relaxation algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate when objective function delta < 0.0001
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 202x50001
Performing five EM steps to prime main algorithm
1 (EM) 	Elapsed: 1.52	Loglikelihood: -7.62557e+06	(delta): 4.21036e+06
22 (QN/Block) 	Elapsed: 3.051	Loglikelihood: -5.67797e+06	(delta): 40.0844
23 (QN/Block) 	Elapsed: 3.606	Loglikelihood: -5.67794e+06	(delta): 28.6136
24 (QN/Block) 	Elapsed: 3.055	Loglikelihood: -5.67792e+06	(delta): 21.0891
25 (QN/Block) 	Elapsed: 3.25	Loglikelihood: -5.6779e+06	(delta): 17.9474
26 (QN/Block) 	Elapsed: 3.557	Loglikelihood: -5.67788e+06	(delta): 24.1834
27 (QN/Block) 	Elapsed: 3.958	Loglikelihood: -5.67784e+06	(delta): 39.171
28 (QN/Block) 	Elapsed: 3.314	Loglikelihood: -5.67779e+06	(delta): 47.6585
29 (QN/Block) 	Elapsed: 3.749	Loglikelihood: -5.67762e+06	(delta): 171.361
30 (QN/Block) 	Elapsed: 3.89	Loglikelihood: -5.67734e+06	(delta): 283.207
31 (QN/Block) 	Elapsed: 3.045	Loglikelihood: -5.67712e+06	(delta): 218.665
32 (QN/Block) 	Elapsed: 3.331	Loglikelihood: -5.67705e+06	(delta): 69.917
33 (QN/Block) 	Elapsed: 3.313	Loglikelihood: -5.677e+06	(delta): 50.8153
34 (QN/Block) 	Elapsed: 3.687	Loglikelihood: -5.67699e+06	(delta): 10.9774
35 (QN/Block) 	Elapsed: 3.45	Loglikelihood: -5.67698e+06	(delta): 6.85301
36 (QN/Block) 	Elapsed: 4.093	Loglikelihood: -5.67695e+06	(delta): 25.5787
37 (QN/Block) 	Elapsed: 3.538	Loglikelihood: -5.67691e+06	(delta): 39.8473
38 (QN/Block) 	Elapsed: 3.026	Loglikelihood: -5.67689e+06	(delta): 21.8952
39 (QN/Block) 	Elapsed: 5.062	Loglikelihood: -5.67687e+06	(delta): 22.3636
40 (QN/Block) 	Elapsed: 3.503	Loglikelihood: -5.67685e+06	(delta): 18.4637
41 (QN/Block) 	Elapsed: 3.423	Loglikelihood: -5.67685e+06	(delta): 0.769559
42 (QN/Block) 	Elapsed: 3.604	Loglikelihood: -5.67685e+06	(delta): 0.59301
43 (QN/Block) 	Elapsed: 4.191	Loglikelihood: -5.67685e+06	(delta): 0.384849
44 (QN/Block) 	Elapsed: 4.719	Loglikelihood: -5.67685e+06	(delta): 0.546573
45 (QN/Block) 	Elapsed: 4.673	Loglikelihood: -5.67685e+06	(delta): 0.441469
46 (QN/Block) 	Elapsed: 3.097	Loglikelihood: -5.67685e+06	(delta): 0.626193
47 (QN/Block) 	Elapsed: 4.742	Loglikelihood: -5.67685e+06	(delta): 0.376047
48 (QN/Block) 	Elapsed: 4.628	Loglikelihood: -5.67685e+06	(delta): 0.652392
49 (QN/Block) 	Elapsed: 2.989	Loglikelihood: -5.67685e+06	(delta): 0.284905
50 (QN/Block) 	Elapsed: 3.579	Loglikelihood: -5.67685e+06	(delta): 0.482718
51 (QN/Block) 	Elapsed: 3.554	Loglikelihood: -5.67685e+06	(delta): 0.225009
52 (QN/Block) 	Elapsed: 4.135	Loglikelihood: -5.67685e+06	(delta): 0.358359
53 (QN/Block) 	Elapsed: 4.417	Loglikelihood: -5.67684e+06	(delta): 0.295794
54 (QN/Block) 	Elapsed: 3.626	Loglikelihood: -5.67684e+06	(delta): 0.55171
55 (QN/Block) 	Elapsed: 3.061	Loglikelihood: -5.67684e+06	(delta): 0.306228
56 (QN/Block) 	Elapsed: 2.996	Loglikelihood: -5.67684e+06	(delta): 0.356481
57 (QN/Block) 	Elapsed: 3.225	Loglikelihood: -5.67684e+06	(delta): 0.126228
58 (QN/Block) 	Elapsed: 3.372	Loglikelihood: -5.67684e+06	(delta): 0.53147
59 (QN/Block) 	Elapsed: 3.732	Loglikelihood: -5.67684e+06	(delta): 0.291203
60 (QN/Block) 	Elapsed: 3.387	Loglikelihood: -5.67684e+06	(delta): 0.124666
61 (QN/Block) 	Elapsed: 3.247	Loglikelihood: -5.67684e+06	(delta): 0.123745
62 (QN/Block) 	Elapsed: 3.311	Loglikelihood: -5.67684e+06	(delta): 0.313563
63 (QN/Block) 	Elapsed: 3.296	Loglikelihood: -5.67684e+06	(delta): 0.599548
64 (QN/Block) 	Elapsed: 3.486	Loglikelihood: -5.67684e+06	(delta): 0.444051
65 (QN/Block) 	Elapsed: 3.498	Loglikelihood: -5.67684e+06	(delta): 0.142842
66 (QN/Block) 	Elapsed: 3.243	Loglikelihood: -5.67684e+06	(delta): 0.98289
67 (QN/Block) 	Elapsed: 3.34	Loglikelihood: -5.67684e+06	(delta): 0.215773
68 (QN/Block) 	Elapsed: 3.57	Loglikelihood: -5.67684e+06	(delta): 0.150403
69 (QN/Block) 	Elapsed: 4.46	Loglikelihood: -5.67684e+06	(delta): 0.156275
70 (QN/Block) 	Elapsed: 3.644	Loglikelihood: -5.67684e+06	(delta): 0.162596
71 (QN/Block) 	Elapsed: 3.217	Loglikelihood: -5.67684e+06	(delta): 0.169964
72 (QN/Block) 	Elapsed: 3.194	Loglikelihood: -5.67684e+06	(delta): 0.179729
73 (QN/Block) 	Elapsed: 3.329	Loglikelihood: -5.67684e+06	(delta): 0.192296
74 (QN/Block) 	Elapsed: 3.242	Loglikelihood: -5.67684e+06	(delta): 0.207381
75 (QN/Block) 	Elapsed: 3.63	Loglikelihood: -5.67684e+06	(delta): 0.226337
76 (QN/Block) 	Elapsed: 3.526	Loglikelihood: -5.67684e+06	(delta): 0.249336
77 (QN/Block) 	Elapsed: 3.537	Loglikelihood: -5.67684e+06	(delta): 0.276063
78 (QN/Block) 	Elapsed: 3.19	Loglikelihood: -5.67684e+06	(delta): 0.309761
79 (QN/Block) 	Elapsed: 3.699	Loglikelihood: -5.67684e+06	(delta): 0.350324
80 (QN/Block) 	Elapsed: 3.466	Loglikelihood: -5.67684e+06	(delta): 0.400263
81 (QN/Block) 	Elapsed: 3.402	Loglikelihood: -5.67684e+06	(delta): 0.471711
82 (QN/Block) 	Elapsed: 3.361	Loglikelihood: -5.67684e+06	(delta): 0.562108
83 (QN/Block) 	Elapsed: 3.211	Loglikelihood: -5.67684e+06	(delta): 0.667216
84 (QN/Block) 	Elapsed: 3.33	Loglikelihood: -5.67683e+06	(delta): 0.784172
85 (QN/Block) 	Elapsed: 3.316	Loglikelihood: -5.67683e+06	(delta): 0.917365
86 (QN/Block) 	Elapsed: 3.246	Loglikelihood: -5.67683e+06	(delta): 1.0815
87 (QN/Block) 	Elapsed: 3.325	Loglikelihood: -5.67683e+06	(delta): 1.29079
88 (QN/Block) 	Elapsed: 3.272	Loglikelihood: -5.67683e+06	(delta): 1.57071
89 (QN/Block) 	Elapsed: 3.186	Loglikelihood: -5.67683e+06	(delta): 1.96248
90 (QN/Block) 	Elapsed: 3.438	Loglikelihood: -5.67682e+06	(delta): 2.50259
91 (QN/Block) 	Elapsed: 3.775	Loglikelihood: -5.67682e+06	(delta): 3.30816
92 (QN/Block) 	Elapsed: 3.555	Loglikelihood: -5.67682e+06	(delta): 4.62975
93 (QN/Block) 	Elapsed: 3.803	Loglikelihood: -5.67681e+06	(delta): 6.73559
94 (QN/Block) 	Elapsed: 5.553	Loglikelihood: -5.6768e+06	(delta): 10.1666
95 (QN/Block) 	Elapsed: 4.255	Loglikelihood: -5.67679e+06	(delta): 15.0011
96 (QN/Block) 	Elapsed: 4.045	Loglikelihood: -5.67677e+06	(delta): 17.8646
97 (QN/Block) 	Elapsed: 4.631	Loglikelihood: -5.67674e+06	(delta): 23.5339
98 (QN/Block) 	Elapsed: 4.555	Loglikelihood: -5.67671e+06	(delta): 31.2309
99 (QN/Block) 	Elapsed: 3.744	Loglikelihood: -5.67667e+06	(delta): 39.9761
100 (QN/Block) 	Elapsed: 3.575	Loglikelihood: -5.67662e+06	(delta): 49.2547
101 (QN/Block) 	Elapsed: 3.299	Loglikelihood: -5.67655e+06	(delta): 69.3614
102 (QN/Block) 	Elapsed: 3.905	Loglikelihood: -5.67645e+06	(delta): 101.084
103 (QN/Block) 	Elapsed: 3.728	Loglikelihood: -5.67636e+06	(delta): 90.8027
104 (QN/Block) 	Elapsed: 3.7	Loglikelihood: -5.67628e+06	(delta): 80.1522
105 (QN/Block) 	Elapsed: 3.529	Loglikelihood: -5.6762e+06	(delta): 78.7406
106 (QN/Block) 	Elapsed: 3.342	Loglikelihood: -5.67612e+06	(delta): 86.8398
107 (QN/Block) 	Elapsed: 3.559	Loglikelihood: -5.676e+06	(delta): 120.038
108 (QN/Block) 	Elapsed: 3.569	Loglikelihood: -5.67584e+06	(delta): 158.7
109 (QN/Block) 	Elapsed: 3.931	Loglikelihood: -5.67575e+06	(delta): 87.6179
110 (QN/Block) 	Elapsed: 3.158	Loglikelihood: -5.6757e+06	(delta): 54.7225
111 (QN/Block) 	Elapsed: 3.1	Loglikelihood: -5.67564e+06	(delta): 51.3251
112 (QN/Block) 	Elapsed: 3.3	Loglikelihood: -5.67561e+06	(delta): 35.4297
113 (QN/Block) 	Elapsed: 3.177	Loglikelihood: -5.67559e+06	(delta): 22.3629
114 (QN/Block) 	Elapsed: 3.108	Loglikelihood: -5.67557e+06	(delta): 12.6179
115 (QN/Block) 	Elapsed: 3.141	Loglikelihood: -5.67556e+06	(delta): 12.1971
116 (QN/Block) 	Elapsed: 3.529	Loglikelihood: -5.67555e+06	(delta): 11.635
117 (QN/Block) 	Elapsed: 3.688	Loglikelihood: -5.67554e+06	(delta): 14.2753
118 (QN/Block) 	Elapsed: 3.875	Loglikelihood: -5.67552e+06	(delta): 14.0168
119 (QN/Block) 	Elapsed: 3.379	Loglikelihood: -5.67552e+06	(delta): 5.66551
120 (QN/Block) 	Elapsed: 3.368	Loglikelihood: -5.67551e+06	(delta): 5.63341
121 (QN/Block) 	Elapsed: 3.21	Loglikelihood: -5.6755e+06	(delta): 7.58458
122 (QN/Block) 	Elapsed: 3.07	Loglikelihood: -5.6755e+06	(delta): 5.80705
123 (QN/Block) 	Elapsed: 2.863	Loglikelihood: -5.67549e+06	(delta): 3.09157
124 (QN/Block) 	Elapsed: 3.214	Loglikelihood: -5.67549e+06	(delta): 1.32021
125 (QN/Block) 	Elapsed: 3.277	Loglikelihood: -5.67549e+06	(delta): 1.36537
126 (QN/Block) 	Elapsed: 3.211	Loglikelihood: -5.67549e+06	(delta): 1.45872
127 (QN/Block) 	Elapsed: 3.288	Loglikelihood: -5.67549e+06	(delta): 1.49953
128 (QN/Block) 	Elapsed: 3.364	Loglikelihood: -5.67549e+06	(delta): 2.53165
129 (QN/Block) 	Elapsed: 3.553	Loglikelihood: -5.67548e+06	(delta): 3.57484
130 (QN/Block) 	Elapsed: 3.457	Loglikelihood: -5.67548e+06	(delta): 2.62292
131 (QN/Block) 	Elapsed: 3.463	Loglikelihood: -5.67548e+06	(delta): 3.72741
132 (QN/Block) 	Elapsed: 3.284	Loglikelihood: -5.67546e+06	(delta): 11.6817
133 (QN/Block) 	Elapsed: 3.075	Loglikelihood: -5.67542e+06	(delta): 47.9091
134 (QN/Block) 	Elapsed: 3.066	Loglikelihood: -5.67538e+06	(delta): 37.5984
135 (QN/Block) 	Elapsed: 3.223	Loglikelihood: -5.67535e+06	(delta): 32.8662
136 (QN/Block) 	Elapsed: 3.254	Loglikelihood: -5.67534e+06	(delta): 9.5211
137 (QN/Block) 	Elapsed: 3.258	Loglikelihood: -5.67533e+06	(delta): 5.41767
138 (QN/Block) 	Elapsed: 3.368	Loglikelihood: -5.67533e+06	(delta): 2.32059
139 (QN/Block) 	Elapsed: 4.769	Loglikelihood: -5.67532e+06	(delta): 6.00228
140 (QN/Block) 	Elapsed: 3.375	Loglikelihood: -5.67532e+06	(delta): 4.02264
141 (QN/Block) 	Elapsed: 3.601	Loglikelihood: -5.67532e+06	(delta): 1.25855
142 (QN/Block) 	Elapsed: 2.947	Loglikelihood: -5.67532e+06	(delta): 1.24339
143 (QN/Block) 	Elapsed: 3.246	Loglikelihood: -5.67532e+06	(delta): 0.584924
144 (QN/Block) 	Elapsed: 3.652	Loglikelihood: -5.67531e+06	(delta): 0.289842
145 (QN/Block) 	Elapsed: 4.148	Loglikelihood: -5.67531e+06	(delta): 0.187659
146 (QN/Block) 	Elapsed: 3.488	Loglikelihood: -5.67531e+06	(delta): 0.27502
147 (QN/Block) 	Elapsed: 3.139	Loglikelihood: -5.67531e+06	(delta): 0.737153
148 (QN/Block) 	Elapsed: 3.608	Loglikelihood: -5.67531e+06	(delta): 0.617334
149 (QN/Block) 	Elapsed: 3.438	Loglikelihood: -5.67531e+06	(delta): 0.620428
150 (QN/Block) 	Elapsed: 3.678	Loglikelihood: -5.67531e+06	(delta): 0.859405
151 (QN/Block) 	Elapsed: 3.518	Loglikelihood: -5.67531e+06	(delta): 1.20904
152 (QN/Block) 	Elapsed: 3.665	Loglikelihood: -5.67531e+06	(delta): 1.30706
153 (QN/Block) 	Elapsed: 3.493	Loglikelihood: -5.67531e+06	(delta): 0.058966
154 (QN/Block) 	Elapsed: 3.47	Loglikelihood: -5.67531e+06	(delta): 0.0313243
155 (QN/Block) 	Elapsed: 3.137	Loglikelihood: -5.67531e+06	(delta): 0.0761481
156 (QN/Block) 	Elapsed: 3.115	Loglikelihood: -5.67531e+06	(delta): 0.0162086
157 (QN/Block) 	Elapsed: 2.942	Loglikelihood: -5.67531e+06	(delta): 0.0209429
158 (QN/Block) 	Elapsed: 3.986	Loglikelihood: -5.67531e+06	(delta): 0.0325612
159 (QN/Block) 	Elapsed: 3.242	Loglikelihood: -5.67531e+06	(delta): 0.018734
160 (QN/Block) 	Elapsed: 3.874	Loglikelihood: -5.67531e+06	(delta): 0.015065
161 (QN/Block) 	Elapsed: 3.311	Loglikelihood: -5.67531e+06	(delta): 0.0187179
162 (QN/Block) 	Elapsed: 3.257	Loglikelihood: -5.67531e+06	(delta): 0.00506118
163 (QN/Block) 	Elapsed: 2.982	Loglikelihood: -5.67531e+06	(delta): 0.00226725
164 (QN/Block) 	Elapsed: 3.319	Loglikelihood: -5.67531e+06	(delta): 0.00034037
165 (QN/Block) 	Elapsed: 3.028	Loglikelihood: -5.67531e+06	(delta): 0.000154133
166 (QN/Block) 	Elapsed: 2.91	Loglikelihood: -5.67531e+06	(delta): 0.000220301
167 (QN/Block) 	Elapsed: 3.034	Loglikelihood: -5.67531e+06	(delta): 3.9381e-05
Summary: 
Converged in 167 iterations (609.113 sec)
Loglikelihood: -5675308.610028
Fst divergences between estimated populations: 
	Pop0	Pop1	Pop2	Pop3	Pop4	
Pop0	
Pop1	0.083	
Pop2	0.313	0.314	
Pop3	0.108	0.123	0.352	
Pop4	0.362	0.363	0.108	0.401	
Pop5	0.327	0.327	0.082	0.367	0.128	
CV error (K=6): 0.67087
Writing output files.
