****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Cross-validation will be performed.  Folds=5.
Random seed: 43
Point estimation method: Block relaxation algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate when objective function delta < 0.0001
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 194x50001
Performing five EM steps to prime main algorithm
1 (EM) 	Elapsed: 1.398	Loglikelihood: -7.33729e+06	(delta): 3.9323e+06
56 (QN/Block) 	Elapsed: 3.643	Loglikelihood: -5.43275e+06	(delta): 15.3128
57 (QN/Block) 	Elapsed: 3.571	Loglikelihood: -5.43272e+06	(delta): 30.6965
58 (QN/Block) 	Elapsed: 3.343	Loglikelihood: -5.43268e+06	(delta): 45.4387
59 (QN/Block) 	Elapsed: 3.721	Loglikelihood: -5.43264e+06	(delta): 39.0191
60 (QN/Block) 	Elapsed: 3.728	Loglikelihood: -5.43259e+06	(delta): 46.6521
61 (QN/Block) 	Elapsed: 3.658	Loglikelihood: -5.43258e+06	(delta): 10.6229
62 (QN/Block) 	Elapsed: 3.764	Loglikelihood: -5.43257e+06	(delta): 8.72369
63 (QN/Block) 	Elapsed: 3.674	Loglikelihood: -5.43256e+06	(delta): 9.77671
64 (QN/Block) 	Elapsed: 3.652	Loglikelihood: -5.43255e+06	(delta): 11.1344
65 (QN/Block) 	Elapsed: 3.802	Loglikelihood: -5.43254e+06	(delta): 10.8697
66 (QN/Block) 	Elapsed: 3.746	Loglikelihood: -5.43252e+06	(delta): 17.8526
67 (QN/Block) 	Elapsed: 3.889	Loglikelihood: -5.4325e+06	(delta): 17.2169
68 (QN/Block) 	Elapsed: 3.644	Loglikelihood: -5.4325e+06	(delta): 2.81588
69 (QN/Block) 	Elapsed: 3.549	Loglikelihood: -5.43249e+06	(delta): 6.3435
70 (QN/Block) 	Elapsed: 3.782	Loglikelihood: -5.43249e+06	(delta): 4.34158
71 (QN/Block) 	Elapsed: 3.201	Loglikelihood: -5.43249e+06	(delta): 2.6926
72 (QN/Block) 	Elapsed: 3.381	Loglikelihood: -5.43249e+06	(delta): 1.0491
73 (QN/Block) 	Elapsed: 3.458	Loglikelihood: -5.43249e+06	(delta): 0.801202
74 (QN/Block) 	Elapsed: 3.373	Loglikelihood: -5.43249e+06	(delta): 0.614436
75 (QN/Block) 	Elapsed: 3.357	Loglikelihood: -5.43248e+06	(delta): 0.58255
76 (QN/Block) 	Elapsed: 3.425	Loglikelihood: -5.43248e+06	(delta): 0.461614
77 (QN/Block) 	Elapsed: 3.512	Loglikelihood: -5.43248e+06	(delta): 0.665557
78 (QN/Block) 	Elapsed: 3.575	Loglikelihood: -5.43248e+06	(delta): 0.209914
79 (QN/Block) 	Elapsed: 3.367	Loglikelihood: -5.43248e+06	(delta): 0.391695
80 (QN/Block) 	Elapsed: 3.247	Loglikelihood: -5.43248e+06	(delta): 0.896649
81 (QN/Block) 	Elapsed: 3.487	Loglikelihood: -5.43248e+06	(delta): 1.67232
82 (QN/Block) 	Elapsed: 3.312	Loglikelihood: -5.43248e+06	(delta): 2.7825
83 (QN/Block) 	Elapsed: 3.315	Loglikelihood: -5.43248e+06	(delta): 2.33446
84 (QN/Block) 	Elapsed: 3.567	Loglikelihood: -5.43247e+06	(delta): 1.3579
85 (QN/Block) 	Elapsed: 3.417	Loglikelihood: -5.43247e+06	(delta): 0.621329
86 (QN/Block) 	Elapsed: 3.434	Loglikelihood: -5.43247e+06	(delta): 0.257581
87 (QN/Block) 	Elapsed: 3.813	Loglikelihood: -5.43247e+06	(delta): 0.105579
88 (QN/Block) 	Elapsed: 3.238	Loglikelihood: -5.43247e+06	(delta): 0.209465
89 (QN/Block) 	Elapsed: 3.485	Loglikelihood: -5.43247e+06	(delta): 0.233204
90 (QN/Block) 	Elapsed: 3.512	Loglikelihood: -5.43247e+06	(delta): 0.6852
91 (QN/Block) 	Elapsed: 3.325	Loglikelihood: -5.43247e+06	(delta): 1.1482
92 (QN/Block) 	Elapsed: 3.462	Loglikelihood: -5.43247e+06	(delta): 2.24306
93 (QN/Block) 	Elapsed: 3.513	Loglikelihood: -5.43247e+06	(delta): 2.86234
94 (QN/Block) 	Elapsed: 3.228	Loglikelihood: -5.43246e+06	(delta): 1.33136
95 (QN/Block) 	Elapsed: 3.437	Loglikelihood: -5.43246e+06	(delta): 1.05445
96 (QN/Block) 	Elapsed: 3.405	Loglikelihood: -5.43246e+06	(delta): 0.892819
97 (QN/Block) 	Elapsed: 3.363	Loglikelihood: -5.43246e+06	(delta): 0.887403
98 (QN/Block) 	Elapsed: 3.561	Loglikelihood: -5.43246e+06	(delta): 0.165068
99 (QN/Block) 	Elapsed: 3.587	Loglikelihood: -5.43246e+06	(delta): 0.37697
100 (QN/Block) 	Elapsed: 3.387	Loglikelihood: -5.43246e+06	(delta): 0.410937
101 (QN/Block) 	Elapsed: 3.418	Loglikelihood: -5.43246e+06	(delta): 0.138973
102 (QN/Block) 	Elapsed: 3.851	Loglikelihood: -5.43246e+06	(delta): 0.126983
103 (QN/Block) 	Elapsed: 3.444	Loglikelihood: -5.43246e+06	(delta): 0.151565
104 (QN/Block) 	Elapsed: 3.364	Loglikelihood: -5.43246e+06	(delta): 1.08196
105 (QN/Block) 	Elapsed: 3.204	Loglikelihood: -5.43246e+06	(delta): 0.760876
106 (QN/Block) 	Elapsed: 3.72	Loglikelihood: -5.43245e+06	(delta): 5.6251
107 (QN/Block) 	Elapsed: 3.45	Loglikelihood: -5.43245e+06	(delta): 3.11107
108 (QN/Block) 	Elapsed: 3.73	Loglikelihood: -5.43245e+06	(delta): 0.181418
109 (QN/Block) 	Elapsed: 3.091	Loglikelihood: -5.43245e+06	(delta): 0.30013
110 (QN/Block) 	Elapsed: 3.352	Loglikelihood: -5.43245e+06	(delta): 0.148264
111 (QN/Block) 	Elapsed: 3.376	Loglikelihood: -5.43245e+06	(delta): 0.162407
112 (QN/Block) 	Elapsed: 3.449	Loglikelihood: -5.43245e+06	(delta): 0.301563
113 (QN/Block) 	Elapsed: 3.284	Loglikelihood: -5.43245e+06	(delta): 0.260505
114 (QN/Block) 	Elapsed: 3.394	Loglikelihood: -5.43245e+06	(delta): 0.361937
115 (QN/Block) 	Elapsed: 3.732	Loglikelihood: -5.43245e+06	(delta): 0.163839
116 (QN/Block) 	Elapsed: 3.538	Loglikelihood: -5.43245e+06	(delta): 0.195842
117 (QN/Block) 	Elapsed: 3.779	Loglikelihood: -5.43245e+06	(delta): 0.257888
118 (QN/Block) 	Elapsed: 3.727	Loglikelihood: -5.43245e+06	(delta): 0.376191
119 (QN/Block) 	Elapsed: 3.463	Loglikelihood: -5.43245e+06	(delta): 0.590361
120 (QN/Block) 	Elapsed: 3.748	Loglikelihood: -5.43245e+06	(delta): 0.949032
121 (QN/Block) 	Elapsed: 3.558	Loglikelihood: -5.43244e+06	(delta): 1.57078
122 (QN/Block) 	Elapsed: 3.694	Loglikelihood: -5.43244e+06	(delta): 2.68464
123 (QN/Block) 	Elapsed: 3.739	Loglikelihood: -5.43244e+06	(delta): 4.72597
124 (QN/Block) 	Elapsed: 3.521	Loglikelihood: -5.43243e+06	(delta): 5.98395
125 (QN/Block) 	Elapsed: 3.769	Loglikelihood: -5.43243e+06	(delta): 2.7759
126 (QN/Block) 	Elapsed: 3.684	Loglikelihood: -5.43243e+06	(delta): 0.14584
127 (QN/Block) 	Elapsed: 3.641	Loglikelihood: -5.43243e+06	(delta): 0.0865311
128 (QN/Block) 	Elapsed: 3.894	Loglikelihood: -5.43243e+06	(delta): 0.0764294
129 (QN/Block) 	Elapsed: 3.639	Loglikelihood: -5.43243e+06	(delta): 0.0975335
130 (QN/Block) 	Elapsed: 3.753	Loglikelihood: -5.43243e+06	(delta): 0.0960941
131 (QN/Block) 	Elapsed: 3.381	Loglikelihood: -5.43243e+06	(delta): 0.0545735
132 (QN/Block) 	Elapsed: 3.197	Loglikelihood: -5.43243e+06	(delta): 0.0417738
133 (QN/Block) 	Elapsed: 3.458	Loglikelihood: -5.43243e+06	(delta): 0.0250063
134 (QN/Block) 	Elapsed: 3.426	Loglikelihood: -5.43243e+06	(delta): 0.00832394
135 (QN/Block) 	Elapsed: 3.31	Loglikelihood: -5.43243e+06	(delta): 0.00255778
136 (QN/Block) 	Elapsed: 3.486	Loglikelihood: -5.43243e+06	(delta): 0.00155212
137 (QN/Block) 	Elapsed: 3.352	Loglikelihood: -5.43243e+06	(delta): 0.000753444
138 (QN/Block) 	Elapsed: 3.659	Loglikelihood: -5.43243e+06	(delta): 0.000115325
139 (QN/Block) 	Elapsed: 3.78	Loglikelihood: -5.43243e+06	(delta): 0.00010978
140 (QN/Block) 	Elapsed: 3.542	Loglikelihood: -5.43243e+06	(delta): 0.000106637
141 (QN/Block) 	Elapsed: 3.734	Loglikelihood: -5.43243e+06	(delta): 0.00012342
142 (QN/Block) 	Elapsed: 3.681	Loglikelihood: -5.43243e+06	(delta): 9.37236e-05
Summary: 
Converged in 142 iterations (526.536 sec)
Loglikelihood: -5432427.002074
Fst divergences between estimated populations: 
	Pop0	Pop1	Pop2	Pop3	Pop4	Pop5	
Pop0	
Pop1	0.102	
Pop2	0.360	0.316	
Pop3	0.358	0.314	0.071	
Pop4	0.365	0.323	0.136	0.135	
Pop5	0.366	0.321	0.089	0.078	0.154	
Pop6	0.115	0.085	0.337	0.336	0.343	0.343	
CV error (K=7): 0.71972
Writing output files.
